model,val_acc,val_f1_macro,val_f1_weighted,test_acc,test_f1_macro,test_f1_weighted
ViT,0.9978586723768736,0.997780815343599,0.9978610421549694,0.9952718676122931,0.9952912703622191,0.995270772249757
ResNet50,0.9959850107066381,0.9958210885487316,0.9959867578250747,0.9929078014184397,0.9928766168954267,0.9928826599656999
SimpleCNN,0.985813704496788,0.9854215228692803,0.9858545004999578,0.9810874704491725,0.9809864234972347,0.9810861289066725
