iter	RMSE
302	10828.81107
303	10824.44834
304	10814.18533
305	10807.48145
306	10803.64496
307	10795.65388
308	10793.77403
309	10790.05872
310	10778.7742
311	10771.13096
312	10765.72134
313	10759.1952
314	10756.33853
315	10750.72826
316	10743.52691
317	10734.56024
318	10730.26673
319	10719.4726
320	10714.10604
321	10705.80209
322	10695.05582
323	10688.66181
324	10684.8274
325	10673.2666
326	10666.85053
327	10661.88291
328	10659.07211
329	10654.22597
330	10631.24442
331	10626.54869
332	10619.69472
333	10615.01461
334	10611.61148
335	10608.28647
336	10601.30889
337	10592.33977
338	10577.75653
339	10568.76666
340	10563.63086
341	10555.7305
342	10547.00025
343	10543.1597
344	10540.69425
345	10538.0807
346	10528.4319
347	10525.50644
348	10520.59462
349	10512.52311
350	10507.06943
351	10504.01362
352	10496.72945
353	10489.32832
354	10483.72184
355	10480.01523
356	10474.38988
357	10471.67464
358	10461.98441
359	10461.27775
360	10459.86063
361	10452.33427
362	10446.18078
363	10437.6176
364	10433.72802
365	10430.96248
366	10426.43742
367	10422.87396
368	10418.94843
369	10412.00996
370	10407.03849
371	10406.47284
372	10399.50419
373	10386.76869
374	10374.06235
375	10362.32113
376	10357.39961
377	10354.685
378	10344.19058
379	10334.78721
380	10326.91338
381	10324.48304
382	10318.95502
383	10316.42107
384	10307.89114
385	10302.48752
386	10297.16045
387	10295.07005
388	10291.27083
389	10289.09191
390	10284.0526
391	10280.93467
392	10278.48198
393	10272.50121
394	10263.79023
395	10260.72449
396	10257.53138
397	10251.89804
398	10247.03392
399	10235.75655
400	10231.8402
401	10227.32584
402	10224.17059
403	10215.26841
404	10209.00511
405	10206.31108
406	10201.79355
407	10197.25894
408	10193.62806
409	10190.80888
410	10183.50888
411	10175.27231
412	10163.03927
413	10155.87941
414	10150.72398
415	10147.57334
416	10145.56971
417	10143.78378
418	10140.92963
419	10136.67212
420	10130.27232
421	10128.66468
422	10124.31644
423	10119.24232
424	10113.58248
425	10106.80481
426	10101.73815
427	10100.0856
428	10096.05199
429	10094.24787
430	10090.88077
431	10089.08973
432	10085.36953
433	10076.47702
434	10071.07961
435	10067.21111
436	10062.68998
437	10058.27912
438	10057.0653
439	10055.50746
440	10051.47605
441	10045.39951
442	10039.64513
443	10035.40226
444	10030.28628
445	10018.90691
446	10015.44915
447	10011.53076
448	10006.55314
449	10004.5991
450	10003.19743
451	9997.391991
452	9977.611031
453	9972.889225
454	9968.308825
455	9959.813654
456	9958.433258
457	9957.06157
458	9951.01442
459	9945.875035
460	9938.42587
461	9934.009495
462	9928.494493
463	9923.670724
464	9917.128844
465	9911.230017
466	9909.441209
467	9904.363636
468	9899.713352
469	9897.315858
470	9894.439185
471	9885.772226
472	9879.303453
473	9874.921053
474	9871.123677
475	9869.376609
476	9864.884384
477	9862.153753
478	9858.217933
479	9852.454577
480	9849.233023
481	9847.49798
482	9844.000129
483	9841.22638
484	9836.033996
485	9832.03853
486	9829.18488
487	9824.122358
488	9820.616044
489	9818.483992
490	9816.154372
491	9811.375841
492	9807.880025
493	9806.499747
494	9802.61449
495	9797.526734
496	9790.691746
497	9786.164359
498	9782.829615
499	9778.511643
